Date,Video,Video title,Video publish time,Views
2020-08-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-08-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-08-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-08-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-08-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-08-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-08-31,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-09-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-09-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-09-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",8
2020-09-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-09-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-09-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-09-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-09-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-09-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",7
2020-10-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-10-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-10-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-10-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2020-10-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2020-10-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-10-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-10-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-10-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-10-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-10-31,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-11-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",7
2020-11-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2020-11-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-11-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-11-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-11-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-11-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-11-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-11-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2020-12-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-12-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2020-12-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-12-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-12-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-12-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2020-12-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2020-12-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2020-12-31,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-01-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2021-01-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-01-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2021-01-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-01-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-01-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2021-01-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2021-01-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-01-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2021-01-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-01-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-01-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-01-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",3
2021-01-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-01-29,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-01-30,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-01-31,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",7
2021-02-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2021-02-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-02-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-02-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-02-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-02-23,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-24,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-02-25,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-02-26,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-02-27,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-02-28,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",6
2021-03-01,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-02,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-03,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-03-04,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-03-05,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",5
2021-03-06,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-07,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-08,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-09,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-10,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-11,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",2
2021-03-12,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-13,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-14,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-15,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-03-16,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-03-17,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-18,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-19,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",4
2021-03-20,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",1
2021-03-21,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
2021-03-22,2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",0
